id,name,address,lat,lng,genre,genre_code,budget_code,budget_name,budget_average,capacity,access,url,photo
J000805749,花魁 おいらん oiran,東京都渋谷区道玄坂２-22-6,35.6595720659,139.6954906044,ダイニングバー・バル,G002,B001,1501～2000円,2000円,17,渋谷駅より徒歩５分,https://www.hotpepper.jp/strJ000805749/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/34/85/P012343485/P012343485_238.jpg
J003298053,Bar15,東京都渋谷区道玄坂２丁目16-1,35.6589741169,139.6969616149,ダイニングバー・バル,G002,B002,2001～3000円,,15,渋谷駅から徒歩6分,https://www.hotpepper.jp/strJ003298053/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/68/46/P039596846/P039596846_238.jpg
J001041024,Wine Cafe Shibuya ワインカフェ 渋谷,東京都渋谷区道玄坂２－１８－１１　サンモール道玄坂１F,35.6589299354,139.6962197351,ダイニングバー・バル,G002,B003,3001～4000円,3500円,19,渋谷ハチ公口徒歩6分/井の頭線 神泉駅徒歩3分/マークシティすぐそば,https://www.hotpepper.jp/strJ001041024/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/64/43/P019646443/P019646443_238.jpg
J001247040,青春ポチャ 渋谷店,東京都渋谷区道玄坂２－１－１６－３　キャッツビル２Ｆ,35.6588105266,139.697049114,韓国料理,G017,B002,2001～3000円,3000円,30,東京メトロ，東急渋谷駅Ａ０出口より徒歩約3分／京王井の頭線渋谷駅井の頭線西口より徒歩約4分,https://www.hotpepper.jp/strJ001247040/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/10/78/P040511078/P040511078_238.jpg
J001259349,渋谷マークシティ前応援団 勝男,東京都渋谷区道玄坂１－６－１０,35.6580078888,139.6989084332,居酒屋,G001,B002,2001～3000円,2000円（通常平均）2800円（宴会平均）,90,京王井の頭線渋谷駅井の頭線西口より徒歩約1分,https://www.hotpepper.jp/strJ001259349/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/95/40/P033909540/P033909540_238.jpg
J001008944,魚べい 渋谷道玄坂店,東京都渋谷区道玄坂２-２９-１１　第六セントラルビル１階,35.6594565872,139.6978754069,和食,G004,B001,1501～2000円,900円,90,各線渋谷駅から徒歩5分　マークシティ口から徒歩2分,https://www.hotpepper.jp/strJ001008944/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/55/92/P016345592/P016345592_238.jpg
J000140884,芝浜 渋谷,東京都渋谷区道玄坂２‐６‐２　美奈津ビル３Ｆ,35.6590677776,139.6992030877,居酒屋,G001,B004,5001～7000円,5000円～,20,山手線渋谷駅より徒歩3分　道玄坂を上がり109向いの牛丼屋を左折、右手3軒目,https://www.hotpepper.jp/strJ000140884/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/18/07/P032221807/P032221807_238.jpg
J000140841,渋谷 たるや,東京都渋谷区道玄坂２‐２０‐６ ,35.6593982219,139.6964394199,お好み焼き・もんじゃ,G016,B003,3001～4000円,3500円（通常平均）　2500円（宴会平均）　,40,渋谷駅徒歩7分,https://www.hotpepper.jp/strJ000140841/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/34/39/P012303439/P012303439_238.jpg
J003941031,NORTH VILLAGE ノースビレッジ 渋谷道玄坂店,東京都渋谷区道玄坂２-28-5 SUN・Ｊビル6F,35.658974682,139.6973196401,ダイニングバー・バル,G002,B002,2001～3000円,3000円前後,35,東京メトロ，東急渋谷駅Ａ０出口より徒歩約2分,https://www.hotpepper.jp/strJ003941031/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/57/12/P045945712/P045945712_238.jpg
J000140934,いんでぃら 渋谷道玄坂店,東京都渋谷区道玄坂２-29-8 道玄坂センタービルB1F,35.6592871621,139.6978865239,洋食,G005,B001,1501～2000円,800円,13,各線渋谷駅徒歩3分,https://www.hotpepper.jp/strJ000140934/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/43/70/P012294370/P012294370_238.jpg
